Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
1.934054,0.8133791,2.5630295,1.6384635,0.38537678,0.33110052,-0.02035836
1.8772964,0.77483696,2.6066046,1.6506107,0.40087414,0.312591,-0.08226273
1.856126,0.75254947,2.6654801,1.6470524,0.40370613,0.27420038,-0.11065729
1.9304194,0.7971533,2.7136714,1.6915804,0.42867407,0.29921672,-0.11333181
2.0375357,0.89299774,2.7942317,1.7772119,0.43995774,0.35329515,-0.11133863
2.1929572,0.99551946,2.923448,1.8726913,0.47319055,0.39566064,-0.03837408
2.3567517,1.1115655,3.0330398,1.9522767,0.52614146,0.426627,0.0037464
2.4745386,1.1992723,3.108375,2.000585,0.5331842,0.44763052,0.05592786
2.4320502,1.1228001,3.071523,1.9018893,0.49181113,0.4275111,0.05094356
2.2477999,0.9673264,2.8830242,1.7482729,0.48320407,0.35740915,0.02059527
2.133418,0.9332912,2.7459147,1.7140703,0.5139287,0.32114762,-0.0140195
2.0665429,0.94179,2.73357,1.7454681,0.5272012,0.33486572,0.00795954
2.0251815,0.9255747,2.7404695,1.7685483,0.5000209,0.35103905,-0.08448778
2.1021783,0.9893391,2.8237042,1.839715,0.5204416,0.39014673,-0.09440256
2.2077792,1.0787042,2.9178414,1.912599,0.5496691,0.43723643,0.01809645
2.3288937,1.1562893,2.996631,1.9575484,0.56556374,0.4686898,0.05362954
2.5884745,1.3013633,3.138666,2.0337462,0.61773527,0.49406812,0.07077231
2.7827113,1.4248487,3.2369227,2.0966613,0.6425862,0.5041029,0.08947727
2.8177226,1.4588248,3.2664552,2.1094115,0.6163289,0.5065041,0.01356908
2.9414089,1.5459468,3.3602512,2.1940022,0.64854366,0.5410759,0.01286292
3.0220773,1.6200039,3.4281566,2.2566545,0.68019986,0.5598187,0.03168702
3.0032084,1.6154425,3.4479334,2.2639651,0.69950026,0.5319738,0.06704307
2.899543,1.5358508,3.4163835,2.223093,0.713117,0.43972686,0.09310894
2.7136164,1.3764497,3.2979631,2.1347613,0.6747962,0.36934593,-0.0231616
2.6478045,1.3386472,3.2797918,2.1455443,0.6681051,0.3933036,-0.0745742
2.6934044,1.3824099,3.3467085,2.214339,0.70007247,0.43974492,0.04060659
2.717544,1.3859657,3.3620002,2.242017,0.7097523,0.43277442,0.00646824
2.835927,1.4804149,3.4609523,2.3134856,0.7510473,0.48249,0.00184666
3.0223615,1.5878922,3.561776,2.3267891,0.77653325,0.55073893,0.04151726
3.0993323,1.6101407,3.5000143,2.2628226,0.7691872,0.5595505,0.0212257
3.0222337,1.6202638,3.3884423,2.2363572,0.7945853,0.5147046,0.0001288
2.9855092,1.652946,3.3823426,2.2629051,0.81240284,0.5093136,0.00048897
3.020374,1.7009528,3.4214797,2.288648,0.7919266,0.5167789,-0.0244996
2.9680183,1.6823524,3.4243226,2.297265,0.7924404,0.5086117,-0.04918196
2.9732177,1.6756881,3.437289,2.3254974,0.79234934,0.51147014,-0.0391096
3.0306113,1.70789,3.4658432,2.3233163,0.7770859,0.5039256,0.02387741
3.0254626,1.6933659,3.4728246,2.2997062,0.8083981,0.47913915,0.05627527
2.9390852,1.6193935,3.445152,2.285523,0.8278331,0.44812414,-0.03130268
2.849906,1.5772532,3.4447794,2.3072193,0.8301106,0.46446982,-0.0253389
2.8143835,1.5612665,3.466778,2.3490343,0.8614412,0.49950323,0.03466883
2.8239894,1.5658959,3.4813688,2.3792377,0.88392407,0.5382652,0.05257977
2.951675,1.6559064,3.5582762,2.4510064,0.8979532,0.56696796,0.03257405
3.138995,1.7675341,3.67095,2.5109634,0.9297926,0.5841746,0.01875913
3.21311,1.8213292,3.7044694,2.5053241,0.9265826,0.608112,0.01691214
3.251304,1.8844303,3.7475638,2.5574095,0.9406875,0.6445548,0.05290674
3.283166,1.9162207,3.7972322,2.5970905,0.9389288,0.6458771,0.13999835
3.2431135,1.8868843,3.7771854,2.5852878,0.95314217,0.62838846,0.14184515
3.1953557,1.832341,3.7610795,2.5765262,0.9782731,0.6040735,0.0669711
3.1166635,1.7342523,3.719391,2.5038667,0.9813183,0.6009616,0.04156019
3.0577667,1.6790115,3.6099858,2.4111512,0.9784761,0.6009173,0.0869698
3.1421876,1.7427927,3.5597835,2.3953934,0.9981829,0.6501461,0.06149978
3.2257993,1.8167222,3.5026727,2.367221,0.99955636,0.6984285,0.04046754
3.27007,1.8725911,3.433845,2.3200033,0.99606395,0.7200386,0.08605394
3.2208397,1.8749106,3.3242176,2.2516844,0.96888894,0.69964266,0.04732679
3.140518,1.8444709,3.17194,2.1858509,0.9632479,0.68283254,0.08237507
3.0369802,1.7841063,2.995125,2.079427,0.953489,0.641216,0.13661405
2.8406148,1.6679082,2.8054497,1.9551331,0.9296874,0.5681635,0.04917692
2.6102076,1.5562545,2.6572583,1.8857105,0.9208518,0.5506646,-0.02095251
2.4560087,1.4958403,2.5497282,1.8366412,0.93303233,0.59149057,-0.02011812
2.4377055,1.4901344,2.505577,1.8233451,0.9505548,0.6313187,0.01041929
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
